Congress,Session,Start Date,End Date,"Civilian, New nominations","Civilian, Confirmed","Civilian, Unconfirmed","Civilian, Withdrawn","Civilian, Rejected","Civilian, Returned","Air Force, New nominations","Air Force, Confirmed","Air Force, Unconfirmed","Air Force, Returned","Army, New nominations","Army, Confirmed","Army, Unconfirmed","Army, Returned","Navy, New nominations","Navy, Confirmed","Navy, Unconfirmed","Marine Corps, New nominations","Marine Corps, Confirmed","Marine Corps, Unconfirmed","Marine Corps, Returned",Total new nominations,Total confirmed,Total unconfirmed,Total withdrawn,Total rejected,Total returned,"Civilian, Carryover nominations","Air Force, Carryover nominations","Army, Carryover nominations","Army, Withdrawn","Navy, Carryover nominations","Navy, Withdrawn","Marine Corps, Carryover nominations",Total carryover nominations,"Air Force, Withdrawn","Marine Corps, Withdrawn","Space Force, New nominations","Space Force, Confirmed","Space Force, Unconfirmed","Space Force, Withdrawn","Space Force, Carryover nominations","Air Force, Failed","Civilian, Recess reappointments",Total recess reappointments,"Army, Failed","Civilian, Failed","Navy, Returned",Total failed
106,2,2000-01-24 00:00:00,2000-12-31 00:00:00,1581,2271,19,13,,198,5769,5781,,3,6401,6045,2,558,5585,5588,,2826,2827,,0,22162,22512,21,13,,766,920,15,204,,10,,1,1150,,,,,,,,,0,0,0,0,7,0
107,1,2001-01-03 00:00:00,2001-12-31 00:00:00,3409,2225,701,69,,414,6801,6750,4,47,7142,6981,53,108,5593,5564,,3625,3571,33,21,26570,25091,791,69,,619,0,,,,,,,0,,,,,,,,,0,0,0,0,29,0
107,2,2002-01-23 00:00:00,2002-11-22 00:00:00,2028,2564,0,10,,155,5813,5811,,6,6182,6225,,10,6044,6030,,2978,3003,,8,23045,23633,0,10,,193,701,4,53,,,,33,791,,,,,,,,,0,0,0,0,14,0
108,1,2003-01-07 00:00:00,2003-12-31 00:00:00,3178,2951,200,13,,14,9068,5494,3572,2,6012,5416,594,2,7752,5308,2444,2413,2411,2,0,28423,21580,6812,13,,18,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0
108,2,2004-01-20 00:00:00,2004-12-31 00:00:00,4417,4415,0,24,,178,6077,5777,,3870,5324,5827,,91,7375,9803,,1227,1225,,4,24420,27047,0,26,,4159,200,3572,594,,2444,,2,6812,2,,,,,,,,0,0,0,0,16,0
109,1,2005-01-04 00:00:00,2005-12-22 00:00:00,3251,2285,928,18,,20,9860,9723,100,37,8586,7971,608,7,4607,4583,21,1382,1380,2,0,27686,25942,1659,18,,67,0,,,,,,,0,,,,,,,,,0,0,0,0,3,0
109,2,2006-01-03 00:00:00,2006-12-31 00:00:00,2956,3678,0,22,,184,7730,7829,,1,9177,9772,,13,7015,7035,,1291,1289,,4,28169,29603,0,22,,203,928,100,608,,21,,2,1659,,,,,,,,,0,0,0,0,1,0
110,1,2007-01-04 00:00:00,2007-12-31 00:00:00,4297,4075,188,31,,3,6096,6090,5,1,6721,6698,19,4,4691,4688,3,1342,1341,1,0,23147,22892,216,31,,8,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0
110,2,2008-01-03 00:00:00,2009-01-03 00:00:00,3444,3229,0,40,,363,5926,5925,,5,6406,6351,,73,4749,4715,,1565,1565,,1,22090,21785,0,43,,478,188,5,19,1,3,1,1,216,1,,,,,,,,0,0,0,0,36,0
111,1,2009-01-06 00:00:00,2009-12-31 00:00:00,3222,2879,321,15,,7,7870,7111,759,0,7223,7146,76,1,4442,4434,8,2194,1480,714,0,24951,23050,1878,15,,8,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0
111,2,2010-01-05 00:00:00,2010-12-31 00:00:00,2675,2800,0,16,,180,6600,7318,,41,7486,7553,,4,4448,4454,,627,1202,,139,21836,23327,0,21,,366,321,759,76,5,8,,714,1878,,,,,,,,,0,0,0,0,2,0
112,1,2011-01-05 00:00:00,2012-01-03 00:00:00,3972,3582,355,23,,12,5983,5688,295,0,5908,5892,16,0,3405,3404,1,1249,1249,,0,20517,19815,667,23,,12,0,,,,,,,,,,,,,,,,0,0,0,0,0,0
112,2,2012-01-03 00:00:00,2013-01-03 00:00:00,5019,5225,0,19,,130,6298,6582,,10,7300,7304,,11,3872,3871,,1314,1314,,0,23803,24296,0,21,,153,355,295,16,1,1,,,667,1,,,,,,,,0,0,0,0,2,0
113,1,2013-01-03 00:00:00,2014-01-03 00:00:00,2226,505,2,9,,1710,5479,5471,,7,6726,6712,,14,3881,3879,,762,761,,1,19074,17328,2,11,,1733,0,,,,,1,,0,1,,,,,,,,0,0,0,0,1,0
113,2,2014-01-03 00:00:00,2015-01-02 00:00:00,4237,3076,0,14,,1149,4424,4200,,223,6379,6325,,53,3877,3875,,879,878,,1,19796,18354,0,16,,1428,2,,,1,,,,2,1,,,,,,,,0,0,0,0,2,0
114,1,2015-01-06 00:00:00,2015-12-31 00:00:00,4168,3556,278,332,,2,5734,5550,181,0,5214,3474,1740,0,3936,3931,5,1070,1067,3,0,20122,17578,2207,335,,2,0,,,,,,,0,3,,,,,,,,0,0,0,0,0,0
114,2,2016-01-04 00:00:00,2017-01-03 00:00:00,2488,2458,0,13,,295,7387,7495,,73,4159,5878,,21,4403,4401,,1243,1245,,1,19680,21477,0,15,,395,278,181,1740,,5,2,3,2207,,,,,,,,,0,0,0,0,5,0
115,1,2017-01-03 00:00:00,2018-01-03 00:00:00,1805,1522,148,36,,99,5978,5899,76,2,6617,6604,12,0,4285,4273,11,1314,1314,,0,19999,19612,247,38,,102,0,,,1,,,,0,1,,,,,,,,0,0,0,0,1,0
115,2,2018-01-03 00:00:00,2019-01-03 00:00:00,2587,2407,305,23,,0,6198,6264,9,0,7271,7273,10,0,4452,4462,1,1347,1345,2,0,21855,21751,225,24,,0,148,76,12,,11,,,247,1,,,,,,,,0,0,0,0,0,0
116,1,2019-01-03 00:00:00,2020-01-03 00:00:00,2166,1668,390,22,,0,5979,5977,2,0,6569,6557,12,0,4616,4611,5,1432,1429,3,0,20762,20242,93,22,,405,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0
116,2,2020-01-03 00:00:00,2021-01-03 00:00:00,2145,2029,0,19,,185,5669,5654,,15,6386,6381,,6,4680,4680,,2258,2157,,101,21854,21617,0,21,,309,88,,3,2,2,,,93,,,716,716,,,,,0,0,0,0,2,0
117,1,2021-01-03 00:00:00,2022-01-03 00:00:00,3479,2837,594,47,,0,6295,6290,5,0,8607,6614,1992,0,4411,4409,1,1644,1323,321,0,26351,22568,2915,868,,0,0,,,1,,1,,0,,,1916,1095,2,819,,,0,0,0,0,0,0
117,2,2022-01-03 00:00:00,2023-01-03 00:00:00,1837,1694,585,30,,0,6372,6327,50,0,6242,6145,2089,0,4523,4523,,234,553,2,0,19678,19714,2726,31,,0,472,5,1992,,1,1,321,2793,,,470,472,,,2,,0,0,0,0,0,0
